file,folder,duration_s,input_sfreq,channels_matched,error,n_candidates,n_events,n_above_thr,threshold,q90,q95,q99,n_above_0.5,n_above_0.7,n_above_0.9,background_uv,p99_abs_uv,bad_soft,bad_hard,over_cap,mad_ratio
S01_009_EEG_01.edf,,1254.012,511.9953920414717,19,,31648,4391,122,0.8,0.371176,0.568459,0.996835,275,154,97,4.5451,62.9093,,,0,0.772;0.720;0.331;0.556;0.467;1.244;1.412;1.266;1.178;0.352;1.172;1.074;0.879;0.896;1.146;1.098;0.749;1.063;1.000
S01_014_EEG_01.edf,,1361.012,511.9953920414717,19,,39385,5447,436,0.8,0.66776,0.960788,0.999925,762,516,334,5.0222,92.3251,,,0,0.634;0.581;0.468;0.618;0.652;1.172;1.098;1.088;1.025;0.416;1.426;1.215;0.848;0.825;1.032;1.056;1.026;1.000;0.925
S01_036_EEG_01.edf,,1222.012,511.9953920414717,19,,34411,4912,211,0.8,0.44405,0.734981,0.999565,406,265,172,6.0222,77.5493,,,0,0.944;1.070;0.987;0.668;0.675;0.830;0.954;0.420;0.297;0.610;1.476;1.464;1.339;1.398;1.329;1.414;1.302;1.000;1.236
